;Caption;URL;type;mean_sscd;max_sscd;Index
0;The No Limits Business Woman Podcast;https://onlinecoach1.hipcast.com/albumart/1000_1618923228.jpg;VM;0.8392826318740845;0.8467365503311157;1030727993
1;Full body U-Zip main opening - Full body U-Zip main opening on front of bag for easy unloading when you get to camp;https://eu.gregorypacks.com/on/demandware.static/-/Library-Sites-gregory-content-library/en_SK/v1606883040757/images/seo-content/greg_freefloat-features/product-highlight_freefloat-features_full-body-u-zip-main-opening-front_111594.jpg;TM;0.1913646161556244;0.208318829536438;2026642560
2;Mothers influence on her young hippo;https://bridgepoint.hipcast.com/albumart/1255_1611128821.jpg;VM;0.9016762971878052;0.907255232334137;964841345
3;"""Watch: Passion Pit's New Video, """"Lifted Up (1985)""""""";http://cdn.pastemagazine.com/www/articles/LiftedUpPassionPitLead.png?635631739914404090;VM;0.8676004409790039;0.8728861808776855;567947515
4;Talks on the Precepts and Buddhist Ethics;https://kargetsi.hipcast.com/albumart/1002_1412114076.jpg;VM;0.8368366956710815;0.8456144332885742;455502462
5;Sony Won't Release <i>The Interview</i> on VOD;http://cdn.pastemagazine.com/www/articles/theinterviewlead.jpg?635544845263589183;VM;0.9229888916015625;0.9256535768508911;851022632
6;<i>I Am Chris Farley</i> Documentary Releases First Trailer;http://cdn.pastemagazine.com/www/articles/chrisfarley_lead.jpg?635714111027175372;VM;0.8738852739334106;0.8862900733947754;1023892317
7;<em>South Park: The Stick of Truth</em> Review (Multi-Platform);http://cdn.pastemagazine.com/www/articles/south%20park%20stick%20of%20truth%20square.jpg?635299191297936569;VM;0.8453534841537476;0.8709957599639893;603108831
8;<i>X-Men: Days of Future Past</i> Director Joins Vince Gilligan's <i>Battle Creek</i> Pilot;http://cdn.pastemagazine.com/www/articles/xmen_Lead.jpg?635302258433891622;VM;0.8391076326370239;0.8472722768783569;164368747
9;Insights with Laura Powers;https://healingpowers.hipcast.com/albumart/1002_1574160114.jpg;VM;0.8474085927009583;0.8516373634338379;453829331
10;As Punisher Joins <i>Daredevil</i> Season Two, Who Will the New Villain Be?;http://cdn.pastemagazine.com/www/articles/Daredevil.jpg?635715723368404272;VM;0.7639486193656921;0.7855117917060852;1905554055